1,68,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. 
2,68,Thoracic Gills,"Multi-branched, thread-like gills present laterally and ventrally on thorax, but not on abdomen."
3,71,Divergent Wing Pads ,"Wingpads are not parallel with body, angled away from the midline of the body."
4,71,Gills Unlike Peltoperlidae," Unlike Peltoperlidae, gills, if present, are not conical, and thoracic sterna do not overlap. "
5,71,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen."
6,71,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
7,71,Tarsal Segments Subequal,"The first and second segment of the tarsus on all legs are the same length. The tarsus is the, most distal leg region (last part of a leg before the claw), often divided into subsegments. When counting tarsal segments, start with the semgent closest to the body. "
8,79,All Nota Sclerotized,"Pro-, meso-, and metanota entirely covered by sclerites (i.e. the dorsal side of all 3 thoracic segments is hardened)."
9,79,Retreat,"Larvae build stationary retreats of silk, detritus and rock fragments, often used for filter feeding. These usually fall apart when removed from the water, but you may see some rements when flping over rocks to search for larvae, it will look like a clup of loose slime (silk) and small rock pieces."
10,79,Setal Fan On Prolegs,Base of each anal proleg (fleshy nubs at end of body) with conspicuous tuft or fan of long hairs .
11,79,Ventral Branched Abdominal Gills,Abdomen with rows of branched gills ventrally.
12,38,Forelegs With Long Hair,Femora (thighs) and tibia (shins) of forelegs have long setae along the inner margins. 
13,38,Minnow-like,"Larvae with streamlined, minnow-like body shape."
14,83,Antenna Between Mandibles and Eyes,"As in all families of superfamily Limnephiloidea, the short, inconspicuous antennae are each located about midway between the base of the mandible and the eye. "
15,53,Lateral Filaments,"Abdominal segments 1–8 with paired, 2-segemented, lateral filaments (slender conical appendages on sides of abdomen)"
16,53,Prolegs With Two Claws,"End of abdomen has a pair of anal prolegs (fleshy nubs at the end of the abdomen), each bearing a 2 claws. "
17,54,Lateral Filaments on 1-7,Abdominal segments 1–7 each with pair of lateral filaments each divided into 4–5 segments.
18,54,Long Tail,End of abdomen with single long filament.
19,1,Head Partially Hidden,Head usually partially contracted into thorax. 
20,1,Transverse Coxae,Forelegs (1st pair of legs) have the coxae (leg segment nearest the body) transverse (not round as in Elmidae).
21,1,Unique Antenna,"Each antenna 11-segmented, usually with enlarged basal segment and expanded 2nd segment covering remaining antennal segments."
