relationshipTypeCode,diagCharId,taxaObjectId,diagCharType,name,description,hasAudio,hasImage
dc_to_family,1024,4,diag_char_family,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. ,0,0
dc_to_family,1025,4,diag_char_family,Thoracic Gills,"Multi-branched, thread-like gills present laterally and ventrally on thorax, but not on abdomen.",0,0
dc_to_family,39,6,diag_char_family,Divergent Wing Pads ,"Wingpads are not parallel with body, angled away from the midline of the body.",0,0
dc_to_family,1028,6,diag_char_family,Gills Unlike Peltoperlidae," Unlike Peltoperlidae, gills, if present, are not conical, and thoracic sterna do not overlap. ",0,0
dc_to_family,1020,6,diag_char_family,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen.",0,0
dc_to_family,1021,6,diag_char_family,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding.",0,0
dc_to_family,38,6,diag_char_family,Tarsal Segments Subequal,"The first and second segment of the tarsus on all legs are the same length. The tarsus is the, most distal leg region (last part of a leg before the claw), often divided into subsegments. When counting tarsal segments, start with the semgent closest to the body. ",0,0
dc_to_family,24,18,diag_char_family,All Nota Sclerotized,"Pro-, meso-, and metanota entirely covered by sclerites (i.e. the dorsal side of all 3 thoracic segments is hardened).",0,0
dc_to_family,27,18,diag_char_family,Retreat,"Larvae build stationary retreats of silk, detritus and rock fragments, often used for filter feeding. These usually fall apart when removed from the water, but you may see some rements when flping over rocks to search for larvae, it will look like a clup of loose slime (silk) and small rock pieces.",0,0
dc_to_family,26,18,diag_char_family,Setal Fan On Prolegs,Base of each anal proleg (fleshy nubs at end of body) with conspicuous tuft or fan of long hairs .,0,0
dc_to_family,25,18,diag_char_family,Ventral Branched Abdominal Gills,Abdomen with rows of branched gills ventrally.,0,0
dc_to_family,494,31,diag_char_family,Forelegs With Long Hair,Femora (thighs) and tibia (shins) of forelegs have long setae along the inner margins. ,0,0
dc_to_family,495,31,diag_char_family,Minnow-like,"Larvae with streamlined, minnow-like body shape.",0,0
dc_to_family,34,33,diag_char_family,Antenna Between Mandibles and Eyes,"As in all families of superfamily Limnephiloidea, the short, inconspicuous antennae are each located about midway between the base of the mandible and the eye. ",0,0
dc_to_family,514,109,diag_char_family,Lateral Filaments,"Abdominal segments 1–8 with paired, 2-segemented, lateral filaments (slender conical appendages on sides of abdomen)",0,0
dc_to_family,515,109,diag_char_family,Prolegs With Two Claws,"End of abdomen has a pair of anal prolegs (fleshy nubs at the end of the abdomen), each bearing a 2 claws. ",0,0
dc_to_family,1840,111,diag_char_family,Lateral Filaments on 1-7,Abdominal segments 1–7 each with pair of lateral filaments each divided into 4–5 segments.,0,0
dc_to_family,1841,111,diag_char_family,Long Tail,End of abdomen with single long filament.,0,0
dc_to_family,949,113,diag_char_family,Head Partially Hidden,Head usually partially contracted into thorax. ,0,0
dc_to_family,951,113,diag_char_family,Transverse Coxae,Forelegs (1st pair of legs) have the coxae (leg segment nearest the body) transverse (not round as in Elmidae).,0,0
dc_to_family,950,113,diag_char_family,Unique Antenna,"Each antenna 11-segmented, usually with enlarged basal segment and expanded 2nd segment covering remaining antennal segments.",0,0
dc_to_family,952,113,diag_char_family,Visible Trochantins,"Trochantins visible, unlike Elmidae. This is a small sclerite near where the leg connects with the body.",0,0
