id,orderId,suborderFilter,commonName,alternateCommonName,scientificName,lifeStageName,lifeStagePrettyName,description,expandedCharacterList,hasAudio,hasImage
277,3,,Small Winter Stoneflies,Snowflies,Capniidae,larva,Larva,"Small winter stoneflies are named for the long, slender body of their aquatic <u>larval</u> form and for the fact that the adults emerge during the winter and can be seen walking on snow. <u>Wing pads</u> on this family do not diverge from the midline; and abdominal segments are separated by a <u>membranous</u> fold. Winter stoneflies are one of the largest families of stoneflies. The <u>nymphs</u> live in the flowing water beneath rocks and gravel in stream and river beds, and only come to surface when metamorphosing into their adult form.",The body is small (~1/4 inch) and slender and without gills; the hind legs do not reach the end of the abdomen; the wing pads are about as long as wide; the abdomen is a little wider in the middle than at it anterior base.,1,1
279,3,,Green Stoneflies,Sallflies,Chloroperlidae,larva,Larva,"The body is small to middle-size (1/4–3/4 inch), slender, and without gills; the labium (lower lip) appears to have only two apical lobes; there is no color pattern on the head or thorax; the wing pads are not divergent, but are parallel with the body; the cerci (long slender filaments at the end of the body) are short, no more than ¾ as long as the abdomen.","The body is small to middle-size (1/4–3/4 inch), slender, and without gills; the labium (lower lip) appears to have only two apical lobes; there is no color pattern on the head or thorax; the wing pads are not divergent, but are parallel with the body; the cerci (long slender filaments at the end of the body) are short, no more than ¾ as long as the abdomen.",1,0
281,3,,"Rolled-winged Stoneflies, Needleflies, Williowflies",,Leuctridae,larva,Larva,"This family includes 6 genera with over 40 species in North America. Although the family is relatively widespread, the species tend to have very localized distributions. <u>Larvae</u> prefer fast, rocky-bottomed riffles and streams. <u>Larvae</u> are long and slender, allowing them to slither through leaf packs. They are <u>shredding detritivores</u>, eating decaying leaves in the water; however, most of the nutrients they receive from this meal come from the <u>periphyton</u> growing on the leaves and not the leaves themselves. The adults have wings that appear to roll around the body, giving them the common name Rolled-Winged Stoneflies.","Body long and slender, abdomen roughly cylindrical. <u>Paraglossae</u> and <u>glossae</u> about same length, suitable for shredding. <strong>Postmentum large, covering bases of <u>maxillae</u>. Hind <u>wing pads</u> more or less parallel with body axis, and typically longer than wide</strong>. First tarsal segment of each leg much longer than second. <strong>When extended, <u>hind legs</u> not reaching end of abdomen</strong>. Membranous <u>pleural</u> folds occur on no more than abdominal segments 1–7.",1,0
283,3,,"Spring Stoneflies, Forestflies",,Nemouridae,larva,Larva,"There are 12 North American genera with roughly 60 species. This group is often referred to as “spring stoneflies,” however, adults of different species emerge at different times of year. The <u>larvae</u> tend to prefer small rivers, streams, and springs. They are often found in <u>leaf packs</u>, wood, or other coarse sediments. This makes sense as most of them are <u>shredding detritivores</u>, though some are <u>collector-gatherers</u>. These <u>larvae</u> can be easily confused with Taeniopterygidae as they both have <u>wing pads</u> divergent (not parallel with the body axis) but can be distinguished because the second tarsal segment of each leg of Nemouridae is much shorter in length than the first. These tend to be hairy <u>larvae</u> with <u>hind legs</u> longer than the abdomen.","<u>Larvae</u> generally small (less than 12 mm long), robust, and hairy. <strong><u>Paraglossae</u> and <u>glossae</u> about same length</strong>, suitable for shredding. <strong>Hind <u>wing pads</u> conspicuously divergent from body axis</strong>. First tarsal segment of each leg much longer than second. <strong>When extended, <u>hind legs</u> reach beyond end of abdomen</strong>.",1,0
285,3,,Roach-like Stoneflies,Roachflies,Peltoperlidae,larva,Larva,"The body is small (1/4–1 inch), stocky, with tapered and pointed gills that are partly hidden by the large, overlapping thoracic plates, giving this stonefly a cockroach appearance from dorsal view.","The body is small (1/4–1 inch), stocky, with tapered and pointed gills that are partly hidden by the large, overlapping thoracic plates, giving this stonefly a cockroach appearance from dorsal view.",1,0
4,3,,Common Stoneflies,Golden Stones,Perlidae,larva,Larva,"This is the world's most species-rich stonefly family including 84 North America species and almost 1,000 worldwide. The generally black-and-yellow-striped <u>larvae</u> are often found <u>clinging</u> to substrate in riffles and other <u>lotic-erosional</u> habitats. Young <u>larvae</u> tend to <u>collect and gather</u> small amounts of food until they are large enough to <u>engulf</u> their prey, including caddisflies, midges, and other small invertebrates. Some of the <u>larvae</u> are territorial, swinging their <u>cerci</u> (tails) at other animals that get too close. If not enough oxygen is present in the water, they can be seen doing strange push-up-like movements in order to move more water across the gills. A life cycle can require from 1–3 years, depending on environmental conditions. They emerge as flying adults in spring and summer, and can often be drawn to lights at night.","<strong><u>Glossae</u> much shorter than the <u>paraglossae</u>. Multi-branched, <u>filamentous</u> gills present <u>laterally</u> and <u>ventrally</u> on thorax, but not on abdomen.</strong>",1,1
287,3,,"Stripetails, Springflies, Yellow Stones",,Perlodidae,larva,Larva,"This family includes 130 North American species and about 300 worldwide. This members of this family have a patterned head and thorax and often longitudinal black-and-yellow stripes on the abdomen, giving the <u>nymphs</u> the common name ""Stripetails."" Similar to other predators, the <u>larvae</u> of this group have <u>paraglossae</u> that are much longer than the <u>glossae</u>; however, some species in this group are also facultative <u>shredders</u> or <u>collector-gatherers</u>. They are often found <u>clinging</u> to the substrate, plants, or other materials in the stream. ","<strong><u>Paraglossae</u> and <u>glossae</u> about same length</strong>. Second tarsal segment of each leg about same length as first. <u>Wing pads</u> divergent, not parallel with body.<strong> Gills absent from <u>thoracic</u> and abdominal segments </strong>of eastern species. <u>Hind legs</u> do not reach end of abdomen.<strong> Tails are subequal to the length of abdomen or longer.</strong> <u>Thoracic</u> <u>nota</u> usually with distinct pigment pattern.",1,0
292,3,,Giant Stoneflies,Salmonflies,Pteronarcyidae,larva,Larva,"The giant stoneflies are identifiable by two main features. The head of these <u>larvae</u> appears to be tilted downward, because it a vertical orientation. Pteronarcyidae have <u>gills</u> on both <u>thoracic</u> and abdominal segments. It is one of only two families of stoneflies to have <u>thoracic</u> <u>gills</u>. These large stonesflies are <u>shredders</u>, eating mostly algae and decomposing leaf litter. Giant stoneflies are fairly sensitive to pollution and can be used to indicate good water quality.","The body is dark and can be quite large (up to 2 inches), with profusely branching gills under the thorax and basal abdominal segments; the wing pads are divergent.",1,1
6,3,,"Broadbacks, Winter Stoneflies",Willowflies,Taeniopterygidae,larva,Larva,"<u>Larvae</u> are usually found in <u>lotic-erosional</u> habitats with coarse sediments, debris accumulations, <u>leaf packs</u>, and in quieter water at the edges of streams, and also are frequently found in large rivers. <u>Larvae</u> can be difficult to spot as they are often slow-moving and covered in debris. Similar to other <u>shredders</u>, these <u>larvae</u> have <u>paraglossae</u> and <u>glossae</u> about the same length. These <u>larvae</u> can be easily confused with Nemouridae as they both have <u>wing pads</u> divergent (not parallel with the body axis) but can be distinguished because the second tarsal segment of each leg of Taeniopterygidae is about the same length as the first.","<strong><u>Paraglossae</u> and <u>glossae</u> about same length. Second tarsal segment of each leg about same length as first. <u>Wing pads</u> divergent, not parallel with body. </strong>Gills absent on abdominal segments. Unlike Peltoperlidae, gills, if present, not conical, and <u>thoracic</u> sterna not overlapping. Unlike Nemouridae, <u>hind legs</u> not reaching end of the abdomen.",1,0
300,14,Case-making Caddisflies,Mountain Casemaker Caddisflies,Early Smoky Wing Sedges,Apataniidae,larva,Larva,The larva lives in a papoose-shaped case of fine sand grains on tops of rocks; its tiny antennae are halfway between the eyes and the mouthparts; the mandibles lack teeth; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment (metanotum) is hairy and usually lacks sclerites near the midline; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.,The larva lives in a papoose-shaped case of fine sand grains on tops of rocks; its tiny antennae are halfway between the eyes and the mouthparts; the mandibles lack teeth; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment (metanotum) is hairy and usually lacks sclerites near the midline; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.,1,0
