taxaObjectId,name,description
4,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. 
4,Thoracic Gills,"Multi-branched, thread-like gills present laterally and ventrally on thorax, but not on abdomen."
6,Divergent Wing Pads ,"Wingpads are not parallel with body, angled away from the midline of the body."
6,Gills Unlike Peltoperlidae," Unlike Peltoperlidae, gills, if present, are not conical, and thoracic sterna do not overlap. "
6,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen."
6,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
6,Tarsal Segments Subequal,"The first and second segment of the tarsus on all legs are the same length. The tarsus is the, most distal leg region (last part of a leg before the claw), often divided into subsegments. When counting tarsal segments, start with the semgent closest to the body. "
18,All Nota Sclerotized,"Pro-, meso-, and metanota entirely covered by sclerites (i.e. the dorsal side of all 3 thoracic segments is hardened)."
18,Retreat,"Larvae build stationary retreats of silk, detritus and rock fragments, often used for filter feeding. These usually fall apart when removed from the water, but you may see some rements when flping over rocks to search for larvae, it will look like a clup of loose slime (silk) and small rock pieces."
18,Setal Fan On Prolegs,Base of each anal proleg (fleshy nubs at end of body) with conspicuous tuft or fan of long hairs .
18,Ventral Branched Abdominal Gills,Abdomen with rows of branched gills ventrally.
31,Forelegs With Long Hair,Femora (thighs) and tibia (shins) of forelegs have long setae along the inner margins. 
31,Minnow-like,"Larvae with streamlined, minnow-like body shape."
33,Antenna Between Mandibles and Eyes,"As in all families of superfamily Limnephiloidea, the short, inconspicuous antennae are each located about midway between the base of the mandible and the eye. "
109,Lateral Filaments,"Abdominal segments 1–8 with paired, 2-segemented, lateral filaments (slender conical appendages on sides of abdomen)"
109,Prolegs With Two Claws,"End of abdomen has a pair of anal prolegs (fleshy nubs at the end of the abdomen), each bearing a 2 claws. "
111,Lateral Filaments on 1-7,Abdominal segments 1–7 each with pair of lateral filaments each divided into 4–5 segments.
111,Long Tail,End of abdomen with single long filament.
113,Head Partially Hidden,Head usually partially contracted into thorax. 
113,Transverse Coxae,Forelegs (1st pair of legs) have the coxae (leg segment nearest the body) transverse (not round as in Elmidae).
113,Unique Antenna,"Each antenna 11-segmented, usually with enlarged basal segment and expanded 2nd segment covering remaining antennal segments."
113,Visible Trochantins,"Trochantins visible, unlike Elmidae. This is a small sclerite near where the leg connects with the body."
115,Coxal Plate Not Wedge-like,Broad wedge-like hind coxal plate absent. 
115,Extended Hind Coxae,"Hind coxae (basal most leg segment) each with median portion extending in posterior direction, dividing abdominal segment 1 into lateral sclerites, but not expanding into broad plates (see <a href=""http://macroinvertebrates.org/taxa-characters/coleoptera-adult/haliplidae/peltodytes/ventral/dc954"">Halipidae</a> for example of broad plates). "
115,Large Spurs Absent,Without large spur on end of each front tibia (shin). 
115,Scutellum Usually Visible,"Scutellum (triangular sclerite between the elytra) usually visible, if hidden, then front and middle tarsi apparently 4-segmented and hind tarsi each with 1 claw."
119,5-Segmented Tarsi,Each leg with 5 tarsal segments.
119,Big Claws,Big Claws
119,Last Tarsal Segment Subequal,Last tarsal segment about as long as other segments 
119,Thread-like Antennae,"Antennae slender, thread-like"
135,4 Eyes," Compound eyes divided into separate dorsal and ventral portions ( ""4-eyed"" appearance)."
140,Expanded Hind Coxae,"Each hind coxa (first segment of the last leg) expanded into a broad, flat, plate, ventrally covering the first 2 or 3 abdominal segments and most of hind femora."
143,5 Segments Before Cupule,"Antenna ually with 5 segments before cupule (cup-shaped, hairless, segment 6)"
143,Antenna Subequal To Head,Antennae about as long head
143,Antennal Segment Articulation,2nd antennal segment attached at apex of 1st (basal-most) segment 
143,Clubbed Antennae,Antennal segments 7–9 clubbed.
143,Long Maxillary Palpi,Maxillary palpi usually longer than antennae. 
156,Base of Mandibles with Bristles,Pair of brushes of bristles above bases of mandibles.
156,Mandibles Moving Vertically,Mandibles moving vertically and parallel to one another.
156,Pair of Long Tubercles Fringed with Hair,Last abdominal segment with pair of long tubercles fringed with hair.
156,Prolegs Present Ventrally from segments 1-8,A pair of prolegs present on abdominal segments 1-8
156,Slender Tubercles on 2-7,"Abdominal segments 2–7 each with two pairs of slender tubercles laterally and dorsally, 1 pair of spiny prolegs ventrally."
158,Head Capsule Complete but Not Distinct,Head capsule complete but not distinctly separated from thorax.
158,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
158,Suction Cup on Each Body Division,"Body divided into 6 major divisions, each with single suction cup ventrally."
160,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.
160,With Or Without Prolegs,"Prolegs (fleshy nubs) can be present or absent on the prothorax (1st thoracic segment). Like in the specimen imaged here (<em>Probezzia</em>), if prolegs are absent the body is usually smooth, shiny, and cream colored, usually without any surface features except a few hairs especially posteriorly, and sometimes a single retractile anal proleg bearing a few hooks. Alternatively, if there is a pair of ventral prolegs on the prothorax, then the prothoracic and anal prolegs are usually paired (even if divison slight and only at apex) and there are distinct dorsal fleshy projections and/or setae along body."
162,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.
