order_scientificName,family_scientificName
Adult Coleoptera,Dryopidae
Adult Coleoptera,Dytiscidae
Adult Coleoptera,Elmidae
Adult Coleoptera,Gyrinidae
Adult Coleoptera,Haliplidae
Adult Coleoptera,Hydrophilidae
Larvae Coleoptera,Dytiscidae
Larvae Coleoptera,Elmidae
Larvae Coleoptera,Gyrinidae
Larvae Coleoptera,Haliplidae
Larvae Coleoptera,Hydrophilidae
Larvae Coleoptera,Psephenidae
Larvae Coleoptera,Ptilodactylidae
Diptera,Athericidae
Diptera,Blephariceridae
Diptera,Ceratopogonidae
Diptera,Chironomidae
Diptera,Culicidae
Diptera,Dixidae
Diptera,Empididae
Diptera,Ephydridae
Diptera,Limoniidae
Diptera,Muscidae
Diptera,Pediciidae
Diptera,Psychodidae
Diptera,Ptychopteridae
Diptera,Simuliidae
Diptera,Stratiomyidae
Diptera,Syrphidae
Diptera,Tipulidae
Ephemeroptera,Ameletidae
Ephemeroptera,Baetidae
Ephemeroptera,Baetiscidae
Ephemeroptera,Caenidae
Ephemeroptera,Ephemerellidae
Ephemeroptera,Ephemeridae
Ephemeroptera,Heptageniidae
Ephemeroptera,Isonychiidae
Ephemeroptera,Leptohyphidae
Ephemeroptera,Leptophlebiidae
Ephemeroptera,Metretopodidae
Ephemeroptera,Polymitarcyidae
Ephemeroptera,Potamanthidae
Ephemeroptera,Siphlonuridae
Hemiptera,Belostomatidae
Hemiptera,Corixidae
Hemiptera,Gerridae
Hemiptera,Naucoridae
Hemiptera,Nepidae
Hemiptera,Notonectidae
Hemiptera,Veliidae
Lepidoptera,Crambidae
Megaloptera,Corydalidae
Megaloptera,Sialidae
Odonata,Aeshnidae
Odonata,Calopterygidae
Odonata,Coenagrionidae
Odonata,Cordulegastridae
Odonata,Corduliidae
Odonata,Gomphidae
Odonata,Lestidae
Odonata,Libellulidae
Plecoptera,Capniidae
Plecoptera,Chloroperlidae
Plecoptera,Leuctridae
Plecoptera,Nemouridae
Plecoptera,Peltoperlidae
Plecoptera,Perlidae
Plecoptera,Perlodidae
Plecoptera,Pteronarcyidae
Plecoptera,Taeniopterygidae
Trichoptera,Apataniidae
Trichoptera,Brachycentridae
Trichoptera,Calamoceratidae
Trichoptera,Dipseudopsidae
Trichoptera,Glossosomatidae
Trichoptera,Goeridae
Trichoptera,Helicopsychidae
Trichoptera,Hydropsychidae
Trichoptera,Hydroptilidae
Trichoptera,Lepidostomatidae
Trichoptera,Leptoceridae
Trichoptera,Limnephilidae
Trichoptera,Molannidae
Trichoptera,Odontoceridae
Trichoptera,Philopotamidae
Trichoptera,Phryganeidae
Trichoptera,Polycentropodidae
Trichoptera,Psychomyiidae
Trichoptera,Rhyacophilidae
Trichoptera,Sericostomatidae
Trichoptera,Thremmatidae
